COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS
212,Terapia Ocupacional,Graduação,TOTAL,M,59.0,25.0
212,Terapia Ocupacional,Graduação,TOTAL,F,620.0,396.0
401,Agronomia,Graduação,2014,F,42.0,22.0
401,Agronomia,Graduação,2014,M,96.0,77.0
401,Agronomia,Graduação,2015,F,52.0,23.0
401,Agronomia,Graduação,2015,M,85.0,71.0
401,Agronomia,Graduação,2016,F,33.0,28.0
401,Agronomia,Graduação,2016,M,93.0,63.0
401,Agronomia,Graduação,2017,F,44.0,30.0
401,Agronomia,Graduação,2017,M,85.0,76.0
401,Agronomia,Graduação,2018,F,44.0,27.0
401,Agronomia,Graduação,2018,M,91.0,77.0
401,Agronomia,Graduação,2019,F,53.0,33.0
401,Agronomia,Graduação,2019,M,84.0,53.0
401,Agronomia,Graduação,2020,F,45.0,23.0
401,Agronomia,Graduação,2020,M,90.0,56.0
401,Agronomia,Graduação,2021,F,44.0,21.0
401,Agronomia,Graduação,2021,M,81.0,71.0
401,Agronomia,Graduação,2022,F,48.0,30.0
401,Agronomia,Graduação,2022,M,62.0,67.0
401,Agronomia,Graduação,2023,F,42.0,23.0
401,Agronomia,Graduação,2023,M,85.0,60.0
401,Agronomia,Graduação,TOTAL,F,447.0,260.0
401,Agronomia,Graduação,TOTAL,M,852.0,671.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2014,M,7.0,6.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2014,F,11.0,7.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2015,F,16.0,0.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2015,M,19.0,3.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2016,F,13.0,3.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2016,M,28.0,3.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2017,F,30.0,3.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2017,M,34.0,3.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2018,F,27.0,2.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2018,M,36.0,10.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2019,M,28.0,7.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2019,F,23.0,11.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2020,M,34.0,4.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2020,F,23.0,7.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2021,M,24.0,10.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2021,F,21.0,12.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2022,F,21.0,9.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2022,M,20.0,13.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2023,F,18.0,8.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,2023,M,34.0,11.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,TOTAL,F,203.0,62.0
3003,Curso Superior de Tecnologia em Agronegócio,Graduação,TOTAL,M,264.0,70.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2014,M,16.0,4.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2014,F,78.0,57.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2015,M,28.0,2.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2015,F,78.0,40.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2016,M,30.0,4.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2016,F,97.0,34.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2017,M,37.0,3.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2017,F,91.0,36.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2018,M,24.0,4.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2018,F,87.0,20.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2019,M,34.0,4.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2019,F,81.0,26.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2020,M,26.0,7.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2020,F,66.0,10.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2021,F,56.0,3.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2021,M,24.0,5.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2022,M,29.0,4.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2022,F,38.0,30.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2023,M,22.0,5.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,2023,F,44.0,27.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,TOTAL,M,270.0,42.0
407,Curso Superior de Tecnologia em Alimentos,Graduação,TOTAL,F,716.0,283.0
402,Engenharia Florestal,Graduação,2014,M,31.0,20.0
402,Engenharia Florestal,Graduação,2014,F,40.0,20.0
402,Engenharia Florestal,Graduação,2015,M,32.0,24.0
402,Engenharia Florestal,Graduação,2015,F,37.0,28.0
402,Engenharia Florestal,Graduação,2016,M,35.0,19.0
402,Engenharia Florestal,Graduação,2016,F,39.0,23.0
402,Engenharia Florestal,Graduação,2017,M,31.0,20.0
402,Engenharia Florestal,Graduação,2017,F,42.0,25.0
402,Engenharia Florestal,Graduação,2018,F,39.0,15.0
402,Engenharia Florestal,Graduação,2018,M,38.0,19.0
402,Engenharia Florestal,Graduação,2019,M,33.0,15.0
402,Engenharia Florestal,Graduação,2019,F,38.0,21.0
402,Engenharia Florestal,Graduação,2020,M,35.0,6.0
402,Engenharia Florestal,Graduação,2020,F,31.0,10.0
402,Engenharia Florestal,Graduação,2021,M,31.0,14.0
402,Engenharia Florestal,Graduação,2021,F,28.0,15.0
402,Engenharia Florestal,Graduação,2022,M,24.0,11.0
402,Engenharia Florestal,Graduação,2022,F,36.0,21.0
402,Engenharia Florestal,Graduação,2023,M,18.0,8.0
402,Engenharia Florestal,Graduação,2023,F,34.0,11.0
402,Engenharia Florestal,Graduação,TOTAL,M,308.0,156.0
402,Engenharia Florestal,Graduação,TOTAL,F,364.0,189.0
408.EAD.05,Licenciatura em Educação do Campo/Distância/Agudo/RS,Graduação,2017,M,14.0,0.0
408.EAD.05,Licenciatura em Educação do Campo/Distância/Agudo/RS,Graduação,2017,F,16.0,0.0
408.EAD.05,Licenciatura em Educação do Campo/Distância/Agudo/RS,Graduação,2018,M,2.0,0.0
408.EAD.05,Licenciatura em Educação do Campo/Distância/Agudo/RS,Graduação,2018,F,6.0,0.0
408.EAD.05,Licenciatura em Educação do Campo/Distância/Agudo/RS,Graduação,2020,M,0.0,5.0
408.EAD.05,Licenciatura em Educação do Campo/Distância/Agudo/RS,Graduação,2020,F,0.0,7.0
408.EAD.05,Licenciatura em Educação do Campo/Distância/Agudo/RS,Graduação,2022,M,11.0,0.0
408.EAD.05,Licenciatura em Educação do Campo/Distância/Agudo/RS,Graduação,2022,F,15.0,0.0
