COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS,CENTRO
762,Dança - Bacharelado,Graduação,2017,M,4.0,0.0,CAL
762,Dança - Bacharelado,Graduação,2017,F,10.0,3.0,CAL
762,Dança - Bacharelado,Graduação,2018,M,2.0,1.0,CAL
762,Dança - Bacharelado,Graduação,2018,F,19.0,7.0,CAL
762,Dança - Bacharelado,Graduação,2019,M,2.0,2.0,CAL
762,Dança - Bacharelado,Graduação,2019,F,8.0,4.0,CAL
762,Dança - Bacharelado,Graduação,2020,M,4.0,2.0,CAL
762,Dança - Bacharelado,Graduação,2020,F,12.0,11.0,CAL
762,Dança - Bacharelado,Graduação,2021,M,1.0,1.0,CAL
762,Dança - Bacharelado,Graduação,2021,F,7.0,8.0,CAL
762,Dança - Bacharelado,Graduação,2022,F,5.0,1.0,CAL
762,Dança - Bacharelado,Graduação,2022,M,3.0,2.0,CAL
762,Dança - Bacharelado,Graduação,2023,M,5.0,1.0,CAL
762,Dança - Bacharelado,Graduação,2023,F,15.0,7.0,CAL
762,Dança - Bacharelado,Graduação,TOTAL,M,30.0,9.0,CAL
762,Dança - Bacharelado,Graduação,TOTAL,F,113.0,44.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2015,F,64.0,0.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2015,M,74.0,0.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2016,M,23.0,0.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2016,F,23.0,4.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2017,M,24.0,1.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2017,F,20.0,5.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2018,M,15.0,9.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2018,F,30.0,10.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2019,M,20.0,7.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2019,F,20.0,11.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2020,F,22.0,1.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2020,M,18.0,5.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2021,M,11.0,5.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2021,F,29.0,8.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2022,M,14.0,10.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2022,F,26.0,13.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2023,M,11.0,18.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,2023,F,30.0,23.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,TOTAL,M,210.0,55.0,CAL
765,Desenho Industrial - Bacharelado,Graduação,TOTAL,F,264.0,75.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2014,F,7.0,5.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2014,M,13.0,7.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2015,F,0.0,3.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2015,M,0.0,6.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2016,F,0.0,5.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2016,M,0.0,5.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2017,M,0.0,2.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2017,F,0.0,6.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2018,F,0.0,3.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2019,M,0.0,2.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2020,F,0.0,1.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2022,M,0.0,1.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2023,F,0.0,1.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,2023,M,0.0,1.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,TOTAL,F,7.0,24.0,CAL
718,Desenho Industrial - Habilitação Programação Visual,Graduação,TOTAL,M,13.0,24.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,2014,M,11.0,2.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,2014,F,10.0,9.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,2015,M,0.0,1.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,2015,F,0.0,17.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,2016,F,0.0,6.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,2016,M,0.0,6.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,2017,M,0.0,1.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,2017,F,0.0,3.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,2018,F,0.0,1.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,2019,F,0.0,1.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,TOTAL,M,11.0,10.0,CAL
738,Desenho Industrial - Projeto de Produto,Graduação,TOTAL,F,10.0,37.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2014,M,12.0,3.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2014,F,32.0,15.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2015,M,10.0,3.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2015,F,41.0,27.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2016,M,8.0,6.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2016,F,30.0,24.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2017,M,15.0,2.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2017,F,21.0,12.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2018,M,13.0,7.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2018,F,37.0,18.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2019,M,11.0,1.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2019,F,24.0,16.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2020,M,9.0,4.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2020,F,35.0,6.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2021,M,7.0,6.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2021,F,29.0,11.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2022,M,10.0,7.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2022,F,25.0,17.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2023,M,11.0,4.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,2023,F,32.0,14.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,TOTAL,M,106.0,43.0,CAL
735,Letras - Lic - Hab. Português e Literatura Língua Portuguesa,Graduação,TOTAL,F,306.0,160.0,CAL
737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,Graduação,2014,M,15.0,2.0,CAL
737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,Graduação,2014,F,27.0,3.0,CAL
737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,Graduação,2015,M,14.0,2.0,CAL
737,Letras - Lic.- Hab. Espanhol e Literaturas Língua Espanhola,Graduação,2015,F,34.0,5.0,CAL
