COD_CURSO,NOME_UNIDADE,NIVEL_CURSO,ANO,SEXO,INGRESSANTES,FORMADOS,CENTRO
102,Física - Licenciatura Plena,Graduação,2023,M,9.0,4.0,CCNE
102,Física - Licenciatura Plena,Graduação,TOTAL,F,97.0,18.0,CCNE
102,Física - Licenciatura Plena,Graduação,TOTAL,M,155.0,24.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2014,F,7.0,1.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2014,M,22.0,1.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2015,M,26.0,2.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2015,F,6.0,5.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2016,F,12.0,0.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2016,M,25.0,2.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2017,F,10.0,0.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2017,M,19.0,1.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2018,M,19.0,0.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2018,F,5.0,2.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2019,M,18.0,1.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2019,F,3.0,3.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2020,F,3.0,0.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2020,M,16.0,2.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2021,F,3.0,1.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2021,M,12.0,3.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2022,F,6.0,1.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2022,M,16.0,2.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2023,F,5.0,0.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,2023,M,2.0,1.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,TOTAL,F,60.0,13.0,CCNE
126,Física - Licenciatura Plena Noturno,Graduação,TOTAL,M,175.0,15.0,CCNE
135.EAD.06,Física - Licenciatura/Distância/Cacequi/RS,Graduação,2014,F,0.0,3.0,CCNE
135.EAD.06,Física - Licenciatura/Distância/Cacequi/RS,Graduação,2014,M,0.0,3.0,CCNE
135.EAD.06,Física - Licenciatura/Distância/Cacequi/RS,Graduação,TOTAL,F,0.0,3.0,CCNE
135.EAD.06,Física - Licenciatura/Distância/Cacequi/RS,Graduação,TOTAL,M,0.0,3.0,CCNE
135.EAD.13,Física - Licenciatura/Distância/Cachoeira do Sul/RS,Graduação,2017,F,5.0,0.0,CCNE
135.EAD.13,Física - Licenciatura/Distância/Cachoeira do Sul/RS,Graduação,2017,M,14.0,0.0,CCNE
135.EAD.13,Física - Licenciatura/Distância/Cachoeira do Sul/RS,Graduação,2021,M,0.0,1.0,CCNE
