COD_CURSO,NOME_UNIDADE,ANO,CENTRO,INGRESSANTES_M,INGRESSANTES_F,FORMADOS_M,FORMADOS_F,TOTAL_FORMADOS,TOTAL_INGRESSANTES,INGRESSANTES_M%,INGRESSANTES_F%,FORMADOS_M%,FORMADOS_F%
132.2,Matemática - Bacharelado,2017,CCNE,0,1,11,8.0,19,1,0.0,1.0,0.5789473684210527,0.42105263157894735
132.2,Matemática - Bacharelado,2018,CCNE,1,3,8,13.0,21,4,0.25,0.75,0.38095238095238093,0.6190476190476191
132.2,Matemática - Bacharelado,2019,CCNE,0,3,5,21.0,26,3,0.0,1.0,0.19230769230769232,0.8076923076923077
132.2,Matemática - Bacharelado,2020,CCNE,1,3,8,18.0,26,4,0.25,0.75,0.3076923076923077,0.6923076923076923
132.2,Matemática - Bacharelado,2021,CCNE,3,2,6,15.0,21,5,0.6,0.4,0.2857142857142857,0.7142857142857143
132.2,Matemática - Bacharelado,2022,CCNE,1,1,9,16.0,25,2,0.5,0.5,0.36,0.64
132.2,Matemática - Bacharelado,2023,CCNE,1,3,4,19.0,23,4,0.25,0.75,0.17391304347826086,0.8260869565217391
132.2,Matemática - Bacharelado,TOTAL,CCNE,8,20,77,139.0,216,28,0.2857142857142857,0.7142857142857143,0.35648148148148145,0.6435185185185185
133,Química - Bacharelado,2014,CCNE,5,2,19,8.0,27,7,0.7142857142857143,0.2857142857142857,0.7037037037037037,0.2962962962962963
133,Química - Bacharelado,2015,CCNE,8,0,17,11.0,28,8,1.0,0.0,0.6071428571428571,0.39285714285714285
133,Química - Bacharelado,2016,CCNE,6,6,16,10.0,26,12,0.5,0.5,0.6153846153846154,0.38461538461538464
133,Química - Bacharelado,2017,CCNE,4,5,24,10.0,34,9,0.4444444444444444,0.5555555555555556,0.7058823529411765,0.29411764705882354
133,Química - Bacharelado,2018,CCNE,6,1,16,11.0,27,7,0.8571428571428571,0.14285714285714285,0.5925925925925926,0.4074074074074074
133,Química - Bacharelado,2019,CCNE,6,1,14,13.0,27,7,0.8571428571428571,0.14285714285714285,0.5185185185185185,0.48148148148148145
133,Química - Bacharelado,2020,CCNE,3,1,16,9.0,25,4,0.75,0.25,0.64,0.36
133,Química - Bacharelado,2021,CCNE,1,0,15,9.0,24,1,1.0,0.0,0.625,0.375
133,Química - Bacharelado,2022,CCNE,3,4,14,6.0,20,7,0.42857142857142855,0.5714285714285714,0.7,0.3
133,Química - Bacharelado,2023,CCNE,3,5,15,3.0,18,8,0.375,0.625,0.8333333333333334,0.16666666666666666
133,Química - Bacharelado,TOTAL,CCNE,45,25,166,90.0,256,70,0.6428571428571429,0.35714285714285715,0.6484375,0.3515625
134.EAD.01,Licenciatura em Geografia/Distância/Santa Maria/RS,2014,CCNE,0,0,6,17.0,23,0,,,0.2608695652173913,0.7391304347826086
134.EAD.01,Licenciatura em Geografia/Distância/Santa Maria/RS,2017,CCNE,2,5,0,0.0,0,7,0.2857142857142857,0.7142857142857143,,
134.EAD.01,Licenciatura em Geografia/Distância/Santa Maria/RS,TOTAL,CCNE,2,5,6,17.0,23,7,0.2857142857142857,0.7142857142857143,0.2608695652173913,0.7391304347826086
134.EAD.05,Geografia Licenciatura -EaD-UAB/Palmeira das Missões/RS,2014,CCNE,0,0,7,13.0,20,0,,,0.35,0.65
134.EAD.05,Geografia Licenciatura -EaD-UAB/Palmeira das Missões/RS,2017,CCNE,4,1,0,0.0,0,5,0.8,0.2,,
134.EAD.05,Geografia Licenciatura -EaD-UAB/Palmeira das Missões/RS,2018,CCNE,1,3,0,0.0,0,4,0.25,0.75,,
134.EAD.05,Geografia Licenciatura -EaD-UAB/Palmeira das Missões/RS,TOTAL,CCNE,5,4,7,13.0,20,9,0.5555555555555556,0.4444444444444444,0.35,0.65
134.EAD.06,Geografia Licenciatura -EaD-UAB/Quaraí/RS,2014,CCNE,0,0,9,11.0,20,0,,,0.45,0.55
134.EAD.06,Geografia Licenciatura -EaD-UAB/Quaraí/RS,2017,CCNE,4,5,0,0.0,0,9,0.4444444444444444,0.5555555555555556,,
134.EAD.06,Geografia Licenciatura -EaD-UAB/Quaraí/RS,2018,CCNE,2,1,0,0.0,0,3,0.6666666666666666,0.3333333333333333,,
134.EAD.06,Geografia Licenciatura -EaD-UAB/Quaraí/RS,TOTAL,CCNE,6,6,9,11.0,20,12,0.5,0.5,0.45,0.55
134.EAD.07,Geografia Licenciatura -EaD-UAB/Santa Vitória do Palmar/RS,2014,CCNE,0,0,4,8.0,12,0,,,0.3333333333333333,0.6666666666666666
134.EAD.07,Geografia Licenciatura -EaD-UAB/Santa Vitória do Palmar/RS,2017,CCNE,3,5,0,0.0,0,8,0.375,0.625,,
134.EAD.07,Geografia Licenciatura -EaD-UAB/Santa Vitória do Palmar/RS,2018,CCNE,0,1,0,0.0,0,1,0.0,1.0,,
134.EAD.07,Geografia Licenciatura -EaD-UAB/Santa Vitória do Palmar/RS,TOTAL,CCNE,3,6,4,8.0,12,9,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666
134.EAD.08,Geografia Licenciatura -EaD-UAB/Santo Antonio da Patrulha/RS,2014,CCNE,0,0,11,7.0,18,0,,,0.6111111111111112,0.3888888888888889
134.EAD.08,Geografia Licenciatura -EaD-UAB/Santo Antonio da Patrulha/RS,2017,CCNE,7,3,0,0.0,0,10,0.7,0.3,,
134.EAD.08,Geografia Licenciatura -EaD-UAB/Santo Antonio da Patrulha/RS,2022,CCNE,0,0,9,13.0,22,0,,,0.4090909090909091,0.5909090909090909
134.EAD.08,Geografia Licenciatura -EaD-UAB/Santo Antonio da Patrulha/RS,TOTAL,CCNE,7,3,20,20.0,40,10,0.7,0.3,0.5,0.5
134.EAD.09,Geografia Licenciatura -EaD-UAB/Serefina Corrêa/RS,2017,CCNE,0,0,22,7.0,29,0,,,0.7586206896551724,0.2413793103448276
134.EAD.09,Geografia Licenciatura -EaD-UAB/Serefina Corrêa/RS,2020,CCNE,12,6,0,0.0,0,18,0.6666666666666666,0.3333333333333333,,
134.EAD.09,Geografia Licenciatura -EaD-UAB/Serefina Corrêa/RS,TOTAL,CCNE,12,6,22,7.0,29,18,0.6666666666666666,0.3333333333333333,0.7586206896551724,0.2413793103448276
134.EAD.10,Geografia Licenciatura -EaD-UAB/Tapejara/RS,2017,CCNE,0,0,23,7.0,30,0,,,0.7666666666666667,0.23333333333333334
134.EAD.10,Geografia Licenciatura -EaD-UAB/Tapejara/RS,2020,CCNE,13,5,0,0.0,0,18,0.7222222222222222,0.2777777777777778,,
134.EAD.10,Geografia Licenciatura -EaD-UAB/Tapejara/RS,TOTAL,CCNE,13,5,23,7.0,30,18,0.7222222222222222,0.2777777777777778,0.7666666666666667,0.23333333333333334
134.EAD.11,Geografia Licenciatura -EaD-UAB/Três Passos/RS,2017,CCNE,0,0,19,11.0,30,0,,,0.6333333333333333,0.36666666666666664
134.EAD.11,Geografia Licenciatura -EaD-UAB/Três Passos/RS,2020,CCNE,13,5,0,0.0,0,18,0.7222222222222222,0.2777777777777778,,
134.EAD.11,Geografia Licenciatura -EaD-UAB/Três Passos/RS,TOTAL,CCNE,13,5,19,11.0,30,18,0.7222222222222222,0.2777777777777778,0.6333333333333333,0.36666666666666664
134.EAD.12,Geografia Licenciatura -EaD-UAB/Sapiranga/RS,2017,CCNE,0,0,14,15.0,29,0,,,0.4827586206896552,0.5172413793103449
134.EAD.12,Geografia Licenciatura -EaD-UAB/Sapiranga/RS,2020,CCNE,6,8,0,0.0,0,14,0.42857142857142855,0.5714285714285714,,
134.EAD.12,Geografia Licenciatura -EaD-UAB/Sapiranga/RS,2021,CCNE,1,0,0,0.0,0,1,1.0,0.0,,
134.EAD.12,Geografia Licenciatura -EaD-UAB/Sapiranga/RS,TOTAL,CCNE,7,8,14,15.0,29,15,0.4666666666666667,0.5333333333333333,0.4827586206896552,0.5172413793103449
134.EAD.16,Geografia Licenciatura -EaD-UAB/Cruz Alta/RS,2022,CCNE,0,0,17,8.0,25,0,,,0.68,0.32
134.EAD.16,Geografia Licenciatura -EaD-UAB/Cruz Alta/RS,TOTAL,CCNE,0,0,17,8.0,25,0,,,0.68,0.32
134.EAD.17,Geografia Licenciatura -EaD-UAB/Herval/RS,2022,CCNE,0,0,10,5.0,15,0,,,0.6666666666666666,0.3333333333333333
134.EAD.17,Geografia Licenciatura -EaD-UAB/Herval/RS,TOTAL,CCNE,0,0,10,5.0,15,0,,,0.6666666666666666,0.3333333333333333
134.EAD.18,Geografia Licenciatura -EaD-UAB/Jacuizinho/RS,2022,CCNE,0,0,15,4.0,19,0,,,0.7894736842105263,0.21052631578947367
134.EAD.18,Geografia Licenciatura -EaD-UAB/Jacuizinho/RS,TOTAL,CCNE,0,0,15,4.0,19,0,,,0.7894736842105263,0.21052631578947367
134.EAD.19,Geografia Licenciatura -EaD-UAB/Rosário do Sul/RS,2022,CCNE,0,0,20,5.0,25,0,,,0.8,0.2
134.EAD.19,Geografia Licenciatura -EaD-UAB/Rosário do Sul/RS,TOTAL,CCNE,0,0,20,5.0,25,0,,,0.8,0.2
134.EAD.20,Geografia Licenciatura -EaD-UAB/Sarandi/RS,2022,CCNE,0,0,7,7.0,14,0,,,0.5,0.5
134.EAD.20,Geografia Licenciatura -EaD-UAB/Sarandi/RS,TOTAL,CCNE,0,0,7,7.0,14,0,,,0.5,0.5
135.EAD.01,Física - Licenciatura/Distância/Faxinal do Soturno/RS,2014,CCNE,0,0,5,2.0,7,0,,,0.7142857142857143,0.2857142857142857
135.EAD.01,Física - Licenciatura/Distância/Faxinal do Soturno/RS,2018,CCNE,2,0,0,0.0,0,2,1.0,0.0,,
135.EAD.01,Física - Licenciatura/Distância/Faxinal do Soturno/RS,2021,CCNE,1,0,0,0.0,0,1,1.0,0.0,,
135.EAD.01,Física - Licenciatura/Distância/Faxinal do Soturno/RS,TOTAL,CCNE,3,0,5,2.0,7,3,1.0,0.0,0.7142857142857143,0.2857142857142857
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,2016,CCNE,2,2,0,0.0,0,4,0.5,0.5,,
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,2017,CCNE,1,0,0,0.0,0,1,1.0,0.0,,
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,2020,CCNE,1,0,5,11.0,16,1,1.0,0.0,0.3125,0.6875
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,2021,CCNE,0,0,0,1.0,1,0,,,0.0,1.0
135.EAD.02,Física - Licenciatura/Distância/Três de Maio/RS,TOTAL,CCNE,4,2,5,12.0,17,6,0.6666666666666666,0.3333333333333333,0.29411764705882354,0.7058823529411765
135.EAD.03,Física - Licenciatura/Distância/Quaraí/RS,2014,CCNE,0,0,7,5.0,12,0,,,0.5833333333333334,0.4166666666666667
135.EAD.03,Física - Licenciatura/Distância/Quaraí/RS,2018,CCNE,3,1,0,0.0,0,4,0.75,0.25,,
135.EAD.03,Física - Licenciatura/Distância/Quaraí/RS,TOTAL,CCNE,3,1,7,5.0,12,4,0.75,0.25,0.5833333333333334,0.4166666666666667
135.EAD.05,Física - Licenciatura/Distância/São Lourenço do Sul/RS,2016,CCNE,2,0,0,0.0,0,2,1.0,0.0,,
135.EAD.05,Física - Licenciatura/Distância/São Lourenço do Sul/RS,TOTAL,CCNE,2,0,0,0.0,0,2,1.0,0.0,,
135.EAD.06,Física - Licenciatura/Distância/Cacequi/RS,2014,CCNE,3,3,0,0.0,0,6,0.5,0.5,,
135.EAD.06,Física - Licenciatura/Distância/Cacequi/RS,TOTAL,CCNE,3,3,0,0.0,0,6,0.5,0.5,,
135.EAD.10,Física - Licenciatura/Distância/Itaqui/RS,2014,CCNE,0,0,0,1.0,1,0,,,0.0,1.0
135.EAD.10,Física - Licenciatura/Distância/Itaqui/RS,TOTAL,CCNE,0,0,0,1.0,1,0,,,0.0,1.0
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,2014,CCNE,0,0,10,12.0,22,0,,,0.45454545454545453,0.5454545454545454
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,2015,CCNE,0,0,0,1.0,1,0,,,0.0,1.0
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,2016,CCNE,2,4,0,0.0,0,6,0.3333333333333333,0.6666666666666666,,
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,2017,CCNE,0,0,14,13.0,27,0,,,0.5185185185185185,0.48148148148148145
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,2018,CCNE,0,1,0,0.0,0,1,0.0,1.0,,
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,2020,CCNE,0,0,2,5.0,7,0,,,0.2857142857142857,0.7142857142857143
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,2021,CCNE,5,2,1,1.0,2,7,0.7142857142857143,0.2857142857142857,0.5,0.5
135.EAD.11,Física - Licenciatura/Distância/Santo Antônio da Patrulha/RS,TOTAL,CCNE,7,7,27,32.0,59,14,0.5,0.5,0.4576271186440678,0.5423728813559322
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,2014,CCNE,0,0,7,18.0,25,0,,,0.28,0.72
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,2015,CCNE,0,0,2,1.0,3,0,,,0.6666666666666666,0.3333333333333333
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,2016,CCNE,7,2,0,0.0,0,9,0.7777777777777778,0.2222222222222222,,
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,2017,CCNE,0,0,13,28.0,41,0,,,0.3170731707317073,0.6829268292682927
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,2018,CCNE,5,1,0,0.0,0,6,0.8333333333333334,0.16666666666666666,,
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,2019,CCNE,0,2,0,0.0,0,2,0.0,1.0,,
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,2020,CCNE,0,0,7,13.0,20,0,,,0.35,0.65
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,2021,CCNE,1,1,3,3.0,6,2,0.5,0.5,0.5,0.5
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,2022,CCNE,1,0,0,0.0,0,1,1.0,0.0,,
135.EAD.12,Física - Licenciatura/Distância/Santa Maria/RS,TOTAL,CCNE,14,6,32,63.0,95,20,0.7,0.3,0.3368421052631579,0.6631578947368421
135.EAD.13,Física - Licenciatura/Distância/Cachoeira do Sul/RS,2017,CCNE,0,0,5,14.0,19,0,,,0.2631578947368421,0.7368421052631579
135.EAD.13,Física - Licenciatura/Distância/Cachoeira do Sul/RS,2021,CCNE,0,1,0,0.0,0,1,0.0,1.0,,
135.EAD.13,Física - Licenciatura/Distância/Cachoeira do Sul/RS,TOTAL,CCNE,0,1,5,14.0,19,1,0.0,1.0,0.2631578947368421,0.7368421052631579
135.EAD.14,Física - Licenciatura/Distância/Pinto Bandeira/RS,2017,CCNE,0,0,2,5.0,7,0,,,0.2857142857142857,0.7142857142857143
135.EAD.14,Física - Licenciatura/Distância/Pinto Bandeira/RS,TOTAL,CCNE,0,0,2,5.0,7,0,,,0.2857142857142857,0.7142857142857143
135.EAD.15,Física - Licenciatura/Distância/Gramado/RS,2020,CCNE,0,0,3,3.0,6,0,,,0.5,0.5
135.EAD.15,Física - Licenciatura/Distância/Gramado/RS,2021,CCNE,0,0,0,1.0,1,0,,,0.0,1.0
135.EAD.15,Física - Licenciatura/Distância/Gramado/RS,TOTAL,CCNE,0,0,3,4.0,7,0,,,0.42857142857142855,0.5714285714285714
135.EAD.16,Física - Licenciatura/Distância/Cruz Alta/RS,2020,CCNE,0,0,8,6.0,14,0,,,0.5714285714285714,0.42857142857142855
135.EAD.16,Física - Licenciatura/Distância/Cruz Alta/RS,2021,CCNE,0,0,1,3.0,4,0,,,0.25,0.75
135.EAD.16,Física - Licenciatura/Distância/Cruz Alta/RS,TOTAL,CCNE,0,0,9,9.0,18,0,,,0.5,0.5
137.EAD.04,Licenc. Letras Espanhol - Literaturas/Distância/Itaqui/RS,2014,CAL,0,0,3,1.0,4,0,,,0.75,0.25
137.EAD.04,Licenc. Letras Espanhol - Literaturas/Distância/Itaqui/RS,2015,CAL,6,0,0,0.0,0,6,1.0,0.0,,
137.EAD.04,Licenc. Letras Espanhol - Literaturas/Distância/Itaqui/RS,2017,CAL,1,0,14,8.0,22,1,1.0,0.0,0.6363636363636364,0.36363636363636365
137.EAD.04,Licenc. Letras Espanhol - Literaturas/Distância/Itaqui/RS,2020,CAL,1,1,0,0.0,0,2,0.5,0.5,,
137.EAD.04,Licenc. Letras Espanhol - Literaturas/Distância/Itaqui/RS,2021,CAL,1,0,0,0.0,0,1,1.0,0.0,,
137.EAD.04,Licenc. Letras Espanhol - Literaturas/Distância/Itaqui/RS,2023,CAL,1,0,0,0.0,0,1,1.0,0.0,,
137.EAD.04,Licenc. Letras Espanhol - Literaturas/Distância/Itaqui/RS,TOTAL,CAL,10,1,17,9.0,26,11,0.9090909090909091,0.09090909090909091,0.6538461538461539,0.34615384615384615
137.EAD.05,Licenc. Letras Espanhol - Literaturas/Distância/Jaquirana,2014,CAL,1,0,0,0.0,0,1,1.0,0.0,,
137.EAD.05,Licenc. Letras Espanhol - Literaturas/Distância/Jaquirana,TOTAL,CAL,1,0,0,0.0,0,1,1.0,0.0,,
137.EAD.06,Licenc. Letras Espanhol - Literaturas/Distância/Quaraí/RS,2014,CAL,4,0,15,6.0,21,4,1.0,0.0,0.7142857142857143,0.2857142857142857
137.EAD.06,Licenc. Letras Espanhol - Literaturas/Distância/Quaraí/RS,2015,CAL,2,0,4,1.0,5,2,1.0,0.0,0.8,0.2
137.EAD.06,Licenc. Letras Espanhol - Literaturas/Distância/Quaraí/RS,2016,CAL,2,2,4,1.0,5,4,0.5,0.5,0.8,0.2
137.EAD.06,Licenc. Letras Espanhol - Literaturas/Distância/Quaraí/RS,2017,CAL,3,2,15,6.0,21,5,0.6,0.4,0.7142857142857143,0.2857142857142857
