Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Aprovado,CancMatric,Dispensado,Não Concl.,Repr.Freq,Reprovado,Tr.Parcial,Total Alunos
2021,1. Semestre,D320199,12,A855200218200,304,Engenharia Mecânica,2,2,3,3,0,40,1,51
2021,1. Semestre,D320199,12,A893683855461,304,Engenharia Mecânica,2,2,3,3,0,40,1,51
2021,1. Semestre,D320199,13,A292200218320,307,Ciência da Computação - Bacharelado,60,4,0,0,0,9,0,73
2021,1. Semestre,D320199,14,A148855320200,302,Engenharia Civil,10,1,3,5,0,31,0,50
2021,1. Semestre,D320199,14,A380683888642,302,Engenharia Civil,10,1,3,5,0,31,0,50
2021,1. Semestre,D320199,14,A512642218320,302,Engenharia Civil,10,1,3,5,0,31,0,50
2021,1. Semestre,D320199,14,A855200218200,302,Engenharia Civil,10,1,3,5,0,31,0,50
2021,1. Semestre,D320199,14,A893683855461,302,Engenharia Civil,10,1,3,5,0,31,0,50
2021,1. Semestre,D320199,50,A218148855402,302,Engenharia Civil,1,0,0,0,0,0,0,1
2021,1. Semestre,D320199,50,A218148855402,305,Engenharia Química,2,0,0,0,0,0,0,2
2021,1. Semestre,D320199,50,A218148855402,311,Curso de Engenharia Acústica,1,0,0,0,0,0,0,1
2021,1. Semestre,D320199,50,A218148855402,313,Curso de Engenharia de Produção,21,0,1,3,0,7,0,32
2021,1. Semestre,D320199,50,A218148855402,315,Curso de Engenharia Aeroespacial,0,0,0,0,0,1,0,1
2021,1. Semestre,D320199,15,A148855320200,315,Curso de Engenharia Aeroespacial,29,2,0,1,0,21,0,53
2021,1. Semestre,D320199,15,A380683888642,315,Curso de Engenharia Aeroespacial,29,2,0,1,0,21,0,53
2021,1. Semestre,D320199,15,A512642218320,315,Curso de Engenharia Aeroespacial,29,2,0,1,0,21,0,53
2021,1. Semestre,D320199,15,A855200218200,315,Curso de Engenharia Aeroespacial,29,2,0,1,0,21,0,53
2021,1. Semestre,D320199,15,A893683855461,315,Curso de Engenharia Aeroespacial,29,2,0,1,0,21,0,53
2021,1. Semestre,D320199,16,A806200978642,316,Curso de Engenharia de Telecomunicações,29,2,0,5,0,19,0,55
2021,1. Semestre,D320199,17,A148855320200,305,Engenharia Química,17,3,1,5,0,21,0,47
2021,1. Semestre,D320199,17,A380683888642,305,Engenharia Química,17,3,1,5,0,21,0,47
2021,1. Semestre,D320199,17,A512642218320,305,Engenharia Química,17,3,1,5,0,21,0,47
2021,1. Semestre,D320199,17,A855200218200,305,Engenharia Química,17,3,1,5,0,21,0,47
2021,1. Semestre,D320199,17,A893683855461,305,Engenharia Química,17,3,1,5,0,21,0,47
2021,1. Semestre,D320199,18,A893683855461,109,Química - Licenciatura,2,2,1,3,0,27,1,36
2021,1. Semestre,D320199,19,A642946200380,402,Engenharia Florestal,25,0,0,2,0,32,2,61
2021,1. Semestre,D320200,10,B200380461148,309,Curso de Engenharia Sanitária e Ambiental,4,0,0,2,0,15,0,21
2021,1. Semestre,D320200,10,B200380461148,313,Curso de Engenharia de Produção,6,0,0,0,0,30,2,38
2021,1. Semestre,D320200,10,B292200218320,309,Curso de Engenharia Sanitária e Ambiental,4,0,0,2,0,15,0,21
2021,1. Semestre,D320200,10,B292200218320,313,Curso de Engenharia de Produção,6,0,0,0,0,30,2,38
2021,1. Semestre,D320200,10,B320888200683,309,Curso de Engenharia Sanitária e Ambiental,4,0,0,2,0,15,0,21
2021,1. Semestre,D320200,10,B320888200683,313,Curso de Engenharia de Produção,6,0,0,0,0,30,2,38
