Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Aprovado%,CancMatric%,Dispensado%,Não Concl.%,Repr.Freq%,Reprovado%,Tr.Parcial%,Aprovado,CancMatric,Dispensado,Não Concl.,Repr.Freq,Reprovado,Tr.Parcial,Total Alunos,Total %
2021,1. Semestre,D320199,19,A642946200380,402,Engenharia Florestal,41,0,0,3,0,52,3,25,0,0,2,0,32,2,61,99
2021,1. Semestre,D320200,50,B200380461148,302,Engenharia Civil,0,0,0,0,0,100,0,0,0,0,0,0,1,0,1,100
2021,1. Semestre,D320200,50,B200380461148,305,Engenharia Química,0,0,0,0,0,100,0,0,0,0,0,0,10,0,10,100
2021,1. Semestre,D402855,CC,C946200380402,307,Ciência da Computação - Bacharelado,42,0,0,0,0,58,0,10,0,0,0,0,14,0,24,100
2021,1. Semestre,D402855,SI1,C200380893402,314,Bacharelado em Sistemas de Informação,29,0,0,0,0,71,0,2,0,0,0,0,5,0,7,100
2021,1. Semestre,D888148,SI1,C320402855200,314,Bacharelado em Sistemas de Informação,20,0,0,0,0,80,0,1,0,0,0,0,4,0,5,100
2021,1. Semestre,D888148,CC1,C320402855200,307,Ciência da Computação - Bacharelado,68,11,0,0,0,21,0,13,2,0,0,0,4,0,19,100
2021,1. Semestre,D888148,CC2,C380148200685,307,Ciência da Computação - Bacharelado,72,11,0,0,0,17,0,13,2,0,0,0,3,0,18,100
2021,1. Semestre,D888148,SI2,C380148200685,314,Bacharelado em Sistemas de Informação,20,0,0,0,0,80,0,1,0,0,0,0,4,0,5,100
2021,1. Semestre,D888200,SI1,E681200461218,314,Bacharelado em Sistemas de Informação,20,0,0,0,0,80,0,1,0,0,0,0,4,0,5,100
2021,1. Semestre,D888200,CC1,E681200461218,307,Ciência da Computação - Bacharelado,84,11,0,0,0,5,0,16,2,0,0,0,1,0,19,100
2021,1. Semestre,D888200,CC2,E978402380148,307,Ciência da Computação - Bacharelado,56,11,0,0,0,33,0,10,2,0,0,0,6,0,18,100
2021,1. Semestre,D888200,SI2,E978402380148,314,Bacharelado em Sistemas de Informação,60,0,0,0,0,40,0,3,0,0,0,0,2,0,5,100
2021,2. Semestre,D200888,10,P888402148,313,Curso de Engenharia de Produção,6,8,8,0,0,78,0,2,3,3,0,0,28,0,36,100
2021,2. Semestre,D200888,11,P394200218,402,Engenharia Florestal,66,0,0,4,0,30,0,35,0,0,2,0,16,0,53,100
2021,2. Semestre,D200888,12,P148855320,307,Ciência da Computação - Bacharelado,27,0,0,0,0,61,12,13,0,0,0,0,30,6,49,100
2021,2. Semestre,D200888,13,P946200888,302,Engenharia Civil,34,0,2,0,0,64,0,16,0,1,0,0,30,0,47,100
2021,2. Semestre,D200888,14,P512200642,305,Engenharia Química,5,0,3,0,0,93,0,2,0,1,0,0,37,0,40,101
